propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
BCBIBusiType,,,,%Library.String,BCBI_BusiType,2,BCBI_BusiType		业务类型,
BCBIDate,,,,%Date,BCBI_Date,5,BCBI_Date			插入日期,
BCBILoc,,,,User.CTLoc,BCBI_Loc,7,BCBI_Loc			业务科室,
BCBIPointer,,,,%Library.String,BCBI_Pointer,3,BCBI_Pointer		业务子表指向,
BCBIQty,,,,%Library.Float,BCBI_Qty,4,BCBI_Qty			扫码时对应的数量,
BCBIResQty,,,,%Library.Float,BCBI_ResQty,9,BCBI_ResQty			当前剩余数,
BCBITime,,,,%Time,BCBI_Time,6,BCBI_Time			插入时间,
BCBIUser,,,,User.SSUser,BCBI_User,8,BCBI_User			操作人员,
BCPARREF,,,,BS.PHA.IN.BarCode,BCBI_PARREF,,,
