产品模块	产品线	实施分类	所属组
门诊用药监控	抗菌药物统计查询分析	其它	综合查询
抗菌药物联用情况报表	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
抗菌药物越级使用报表	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
抗菌药物使用目的报表	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
抗菌药物审核	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
抗菌药物联用	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
医生站微信改造	互联网支付平台	互联网医院	医生站
高值医嘱提取	高值耗材管理系统	HRP(C)	物资管理
高值统计	高值耗材管理系统	HRP(C)	物资管理
高值单据生成	高值耗材管理系统	HRP(C)	物资管理
高值追踪查询	高值耗材管理系统	HRP(C)	物资管理
高值退货	高值耗材管理系统	HRP(C)	物资管理
高值报损	高值耗材管理系统	HRP(C)	物资管理
高值调整	高值耗材管理系统	HRP(C)	物资管理
高值入库（虚库）	高值耗材管理系统	HRP(C)	物资管理
高值条码绑定	高值耗材管理系统	HRP(C)	物资管理
全院动态分析	院长查询系统	其它	综合查询
项目工作量统计报表	统计室报表系统	其它	综合查询
门诊线上医保挂号	互联网支付平台	互联网医院	计费医保
微信收费员日报	互联网支付平台	互联网医院	计费医保
微信退费	互联网支付平台	互联网医院	计费医保
微信集中打印发票	互联网支付平台	互联网医院	计费医保
支付宝收费员日报	互联网支付平台	互联网医院	计费医保
支付宝退费	互联网支付平台	互联网医院	计费医保
系统维护	后勤物资管理系统	HRP(C)	物资管理
付款管理	后勤物资管理系统	HRP(C)	物资管理
调整统计	后勤物资管理系统	HRP(C)	物资管理
报损统计	后勤物资管理系统	HRP(C)	物资管理
出库(退回)汇总	后勤物资管理系统	HRP(C)	物资管理
入库(退货)汇总	后勤物资管理系统	HRP(C)	物资管理
库存月报	后勤物资管理系统	HRP(C)	物资管理
库存台账	后勤物资管理系统	HRP(C)	物资管理
库存查询	后勤物资管理系统	HRP(C)	物资管理
库存盘点	后勤物资管理系统	HRP(C)	物资管理
库存调整	后勤物资管理系统	HRP(C)	物资管理
库存报损	后勤物资管理系统	HRP(C)	物资管理
科室请领	后勤物资管理系统	HRP(C)	物资管理
出库	后勤物资管理系统	HRP(C)	物资管理
入库	后勤物资管理系统	HRP(C)	物资管理
采购订单	后勤物资管理系统	HRP(C)	物资管理
采购计划	后勤物资管理系统	HRP(C)	物资管理
字典管理	后勤物资管理系统	HRP(C)	物资管理
系统维护	药库管理系统	药事管理	药房药库
库存报损统计	药库管理系统	药事管理	药房药库
退货汇总	药库管理系统	药事管理	药房药库
出库汇总	药库管理系统	药事管理	药房药库
入库汇总	药库管理系统	药事管理	药房药库
调价	药库管理系统	药事管理	药房药库
药品资料查询	药库管理系统	药事管理	药房药库
库存月报	药库管理系统	药事管理	药房药库
库存台账	药库管理系统	药事管理	药房药库
库存查询	药库管理系统	药事管理	药房药库
库存盘点	药库管理系统	药事管理	药房药库
库存调整	药库管理系统	药事管理	药房药库
库存报损	药库管理系统	药事管理	药房药库
科室请领	药库管理系统	药事管理	药房药库
退货	药库管理系统	药事管理	药房药库
出库	药库管理系统	药事管理	药房药库
入库	药库管理系统	药事管理	药房药库
采购订单	药库管理系统	药事管理	药房药库
采购计划	药库管理系统	药事管理	药房药库
新农合日志查询	医保服务(城乡居民)	HIS	计费医保
住院新农合-报表	医保服务(城乡居民)	HIS	计费医保
住院电子病历浏览	住院医生电子病历	电子病历	电子病历组
门急诊电子病历浏览	门急诊电子病历	电子病历	电子病历组
治疗记录	治疗科室工作站	HIS	医生站
治疗工作台排队叫号	治疗科室工作站	HIS	医生站
治疗分诊台	治疗科室工作站	HIS	医生站
治疗预约	治疗科室工作站	HIS	医生站
毒麻药品统计	住院中心药房系统	HIS	药房药库
住院发药统计	住院中心药房系统	HIS	药房药库
住院发药查询	住院中心药房系统	HIS	药房药库
医生科室发药	住院中心药房系统	HIS	药房药库
权限管理	血液净化信息系统	CIS	临床
数据倒出	血液净化信息系统	CIS	临床
数据查询	血液净化信息系统	CIS	临床
码表定义	血液净化信息系统	CIS	临床
耗材管理	血液净化信息系统	CIS	临床
设备管理	血液净化信息系统	CIS	临床
质量检测	血液净化信息系统	CIS	临床
病人评估	血液净化信息系统	CIS	临床
血液净化治疗记录	血液净化信息系统	CIS	临床
自动设备采集	血液净化信息系统	CIS	临床
床位管理	血液净化信息系统	CIS	临床
特殊抗菌药物会诊	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
抗菌药物越级使用	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
门诊危急值管理	危急值管理平台	其它	基础平台
单品药伍监控	阳光用药系统	其它	综合查询
基本药物监控	阳光用药系统	其它	综合查询
出院用药监控	阳光用药系统	其它	综合查询
门诊用药监控	阳光用药系统	其它	综合查询
药品材料物价显示	数字媒体信息发布	其它	数字媒体发布
检验检查结果发布	数字媒体信息发布	其它	数字媒体发布
医生出诊信息显示	数字媒体信息发布	其它	数字媒体发布
分组管理	数字媒体宣教	其它	数字媒体发布
模板管理	数字媒体宣教	其它	数字媒体发布
素材管理	数字媒体宣教	其它	数字媒体发布
病人主索引管理	患者基本信息管理系统	HIS	医生站
图文报告采集	心电信息管理系统	CIS	心电管理
门急诊窗口挂号	门诊预约挂号系统	HIS	医生站
内镜图像采集管理系统	内镜影像信息系统	CIS	PACS
内镜科室统计分析系统	内镜影像信息系统	CIS	PACS
预约挂号	门诊预约挂号系统	HIS	医生站
抗菌专项监控	阳光用药系统	其它	综合查询
超声报告书写	超声影像信息系统	CIS	PACS
住院病历质控统计报表	病历质控系统	电子病历	电子病历质控管理
座位图	门诊护士工作站	HIS	护理二部
超声存储文件服务器	超声影像信息系统	CIS	PACS
内镜模板设计器	内镜影像信息系统	CIS	PACS
内镜文件存储服务器	内镜影像信息系统	CIS	PACS
传染病报告管理	传染病管理	其它	临床质控
就诊卡管理	患者基本信息管理系统	HIS	医生站
急诊药房	急诊药房管理系统	HIS	药房药库
内镜报告管理	内镜影像信息系统	CIS	PACS
内镜系统管理工作站	内镜影像信息系统	CIS	PACS
急诊卡消费	急诊收费系统	HIS	计费医保
排队叫号（叫号接口）	内镜影像信息系统	CIS	PACS
超声系统管理工作站	超声影像信息系统	CIS	PACS
超声科预约登记管理	超声影像信息系统	CIS	PACS
排队叫号（叫号接口）	超声影像信息系统	CIS	PACS
住院担保	住院收费系统	HIS	计费医保
押金管理	住院收费系统	HIS	计费医保
诊区分诊	门诊分诊系统	HIS	医生站
急诊挂号系统	急诊挂号系统	HIS	医生站
门诊挂号系统	门诊预约挂号系统	HIS	医生站
门急诊窗口退号	门诊预约挂号系统	HIS	医生站
干部职工管理	患者基本信息管理系统	HIS	医生站
住院电子病历书写	住院医生电子病历	电子病历	电子病历组
门急诊电子病历书写	门急诊电子病历	电子病历	电子病历组
急诊留观	急诊护士工作站	HIS	护理二部
门诊医嘱执行	门诊护士工作站	HIS	护理二部
急诊医生工作站	急诊医生工作站	HIS	医生站
环节质控	病历质控系统	电子病历	电子病历质控管理
押金收据发票明细查询	住院收费系统	HIS	计费医保
预交金帐	住院收费系统	HIS	计费医保
欠费管理	住院收费系统	HIS	计费医保
押金催款单	住院收费系统	HIS	计费医保
病区日清明细	住院收费系统	HIS	计费医保
医嘱费用查询	住院收费系统	HIS	计费医保
住院收费员日结账	住院收费系统	HIS	计费医保
欠费结算	住院收费系统	HIS	计费医保
支票到账	住院收费系统	HIS	计费医保
发票管理	住院收费系统	HIS	计费医保
血液净化方案	血液净化信息系统	CIS	临床
全院用药监控	阳光用药系统	其它	综合查询
抗菌药物分级管理	抗菌抗肿瘤药物分级管理系统	药事管理	医生站
押金收据管理	住院收费系统	HIS	计费医保
食源性疾病基础数据维护	食源性疾病管理	其它	临床质控
病理信息管理系统	病理管理系统	CIS	病理管理
超声统计分析	超声影像信息系统	CIS	PACS
治疗申请	治疗科室工作站	HIS	医生站
支付宝对账	互联网支付平台	互联网医院	计费医保
住院危急值管理	危急值管理平台	其它	基础平台
住院退药	住院中心药房系统	HIS	药房药库
会诊评价	会诊管理系统	HIS	新产品研发
住院收费	住院收费系统	HIS	计费医保
微生物系统仪器连接（上线合同内）	微生物信息管理系统	CIS	检验
影像接收、归档、同步服务器	医学影像传输与归档系统	CIS	PACS
现患率(横断面)调查	院内感染管理系统	其它	院内感染管理
影像流传输服务器	医学影像传输与归档系统	CIS	PACS
日志管理系统	基础数据管理平台	HIS	基础数据平台
临床路径查询统计	临床路径管理系统	其它	临床质控
检查护士预约工作站	医技检查预约平台	CIS	PACS
血透相关感染调查	院内感染管理系统	其它	院内感染管理
医生站自动预约功能	医技检查预约平台	CIS	PACS
分诊排队	体检系统	体检	体检
基础数据管理	基础数据管理平台	HIS	基础数据平台
体检数据设置	体检系统	体检	体检
自体血申请	临床用血管理	CIS	检验
标本智能核收	检验信息管理系统	CIS	检验
报告处理-BS	检验信息管理系统	CIS	检验
感染报告管理	院内感染管理系统	其它	院内感染管理
风险管理	院内感染管理系统	其它	院内感染管理
BI数据抽取	消毒供应室管理系统	HRP(C)	物资管理
输血后评价	临床用血管理	CIS	检验
生化仪器连接	检验信息管理系统	CIS	检验
web图像浏览服务器	医学影像传输与归档系统	CIS	PACS
检验报告自动审核	检验信息管理系统	CIS	检验
系统数据维护	微生物信息管理系统	CIS	检验
XML打印工具	基础平台	HIS	基础平台
危急值管理（微生物）	微生物信息管理系统	CIS	检验
系统基础模块	检验信息管理系统	CIS	检验
临床用血	临床用血管理	CIS	检验
体检收表管理	体检系统	体检	体检
知情同意书	临床用血管理	CIS	检验
报告自助打印	检验信息管理系统	CIS	检验
消毒包跟踪	消毒供应室管理系统	HRP(C)	物资管理
组件管理器	基础平台	HIS	基础平台
消毒包字典管理	消毒供应室管理系统	HRP(C)	物资管理
国家路径资源库	临床路径管理系统	其它	临床质控
体检主任管理	体检系统	体检	体检
质量控制	微生物信息管理系统	CIS	检验
临床路径基础信息维护	临床路径管理系统	其它	临床质控
标本检验	微生物信息管理系统	CIS	检验
标本接收-BS	检验信息管理系统	CIS	检验
文件管理	实验室质量管理系统	CIS	检验
管理型基础数据管理	基础数据管理平台	HIS	基础数据平台
图像刻录	医学影像传输与归档系统	CIS	PACS
基础数据维护（临床用血）	临床用血管理	CIS	检验
体检报告系统	体检系统	体检	体检
统计汇总	微生物信息管理系统	CIS	检验
体检收费	体检系统	体检	体检
消毒包登记	消毒供应室管理系统	HRP(C)	物资管理
登录管理	基础平台	HIS	基础平台
免疫仪器连接	检验信息管理系统	CIS	检验
智能报表组件	基础数据管理平台	HIS	医疗商业智能
界面编辑器	基础平台	HIS	基础平台
列编辑器	基础平台	HIS	基础平台
第三方系统标本接口	检验信息管理系统	CIS	检验
基础数据维护院感	院内感染管理系统	其它	院内感染管理
路径表单维护及版本控制	临床路径管理系统	其它	临床质控
基础平台应用	基础平台	HIS	基础平台
术中自体血采集接口	临床用血管理	CIS	检验
体检统计查询	体检系统	体检	体检
条码管理	微生物信息管理系统	CIS	检验
消毒包回收	消毒供应室管理系统	HRP(C)	物资管理
DICOM网关	医学影像传输与归档系统	CIS	PACS
危急值管理-BS	检验信息管理系统	CIS	检验
条码管理（bs版）	检验信息管理系统	CIS	检验
统计汇总（bs版）	检验信息管理系统	CIS	检验
工作流引擎	基础平台	HIS	基础平台
预约统计模块	医技检查预约平台	CIS	PACS
日常工作监测	消毒供应室管理系统	HRP(C)	物资管理
WORKLIST服务、MPPS服务	医学影像传输与归档系统	CIS	PACS
临床备血申请	临床用血管理	CIS	检验
标本接收	微生物信息管理系统	CIS	检验
人员管理	实验室质量管理系统	CIS	检验
体检总检医生	体检系统	体检	体检
消毒包灭菌	消毒供应室管理系统	HRP(C)	物资管理
感染常用报表	院内感染管理系统	其它	院内感染管理
消毒包清洗	消毒供应室管理系统	HRP(C)	物资管理
系统数据维护（bs版）	检验信息管理系统	CIS	检验
手卫生调查	院内感染管理系统	其它	院内感染管理
设备管理（bs版）	实验室质量管理系统	CIS	检验
职业暴露管理	院内感染管理系统	其它	院内感染管理
第三方系统质控系统接口	检验信息管理系统	CIS	检验
出入径管理及项目执行	临床路径管理系统	其它	临床质控
服务器状态监测	基础平台	HIS	基础平台
输血不良反应记录单	临床用血管理	CIS	检验
产品配置管理	基础数据管理平台	HIS	基础数据平台
感染综合监测	院内感染管理系统	其它	院内感染管理
TAT统计（bs版）	检验信息管理系统	CIS	检验
体检科室医生	体检系统	体检	体检
体检高危信息管理	体检系统	体检	体检
标本存储（bs版）	检验信息管理系统	CIS	检验
体检采血	体检系统	体检	体检
临检仪器连接	检验信息管理系统	CIS	检验
急诊仪器连接	检验信息管理系统	CIS	检验
体检前台预约	体检系统	体检	体检
仪器接口管理	微生物信息管理系统	CIS	检验
基础数据平台	基础数据管理平台	HIS	基础数据平台
消毒包包装	消毒供应室管理系统	HRP(C)	物资管理
手麻系统对接	消毒供应室管理系统	HRP(C)	物资管理
体检医保挂号接口	体检系统	体检	计费医保
图像诊断和处理工作站	医学影像传输与归档系统	CIS	PACS
特殊报告处理	检验信息管理系统	CIS	检验
标本存储	微生物信息管理系统	CIS	检验
胶片打印	医学影像传输与归档系统	CIS	PACS
医务科审批	临床用血管理	CIS	检验
检查陪护管理	医技检查预约平台	CIS	PACS
细菌耐药性监测	院内感染管理系统	其它	院内感染管理
消毒包发放	消毒供应室管理系统	HRP(C)	物资管理
消毒包请领	消毒供应室管理系统	HRP(C)	物资管理
细菌鉴定过程	微生物信息管理系统	CIS	检验
病区护士打印模块	医技检查预约平台	CIS	PACS
质量控制-BS	检验信息管理系统	CIS	检验
WHONET接口	微生物信息管理系统	CIS	检验
目标性监测	院内感染管理系统	其它	院内感染管理
标本核收-BS	检验信息管理系统	CIS	检验
温湿度管理	实验室质量管理系统	CIS	检验
环境卫生学监测	院内感染管理系统	其它	院内感染管理
门诊仪器连接	检验信息管理系统	CIS	检验
QC管理	医学影像传输与归档系统	CIS	PACS
临床用血统计分析	临床用血管理	CIS	检验
实验室质量统计指标（卫计委）	检验信息管理系统	CIS	检验
查询统计XD	消毒供应室管理系统	HRP(C)	物资管理
业务完成统一回调	基础平台	HIS	西南技术支持中心
仪器接口管理（bs版）	检验信息管理系统	CIS	检验
临床抗菌药物使用调查	院内感染管理系统	其它	院内感染管理
微生物报告处理	微生物信息管理系统	CIS	检验
外来器械管理	消毒供应室管理系统	HRP(C)	物资管理
TAT统计	微生物信息管理系统	CIS	检验
消息发布	基础平台	HIS	基础平台
临床取血	临床用血管理	CIS	检验
三维权限管理	基础数据管理平台	HIS	基础数据平台
权限管理（临床用血）	临床用血管理	CIS	检验
基础数据维护模块	医技检查预约平台	CIS	PACS
基础平台应用升级	基础平台	HIS	基础平台
用户管理	基础平台	HIS	基础平台
门诊配药	门诊药房管理系统	HIS	药房药库
门诊退药	门诊药房管理系统	HIS	药房药库
门诊发药查询	门诊药房管理系统	HIS	药房药库
门诊发药统计	门诊药房管理系统	HIS	药房药库
处方集中打印	门诊药房管理系统	HIS	药房药库
工作量统计	门诊药房管理系统	HIS	药房药库
毒麻药品统计	门诊药房管理系统	HIS	药房药库
门诊药房配置	门诊药房管理系统	HIS	药房药库
直接发药	门诊药房管理系统	HIS	药房药库
处方预览直接发药	门诊药房管理系统	HIS	药房药库
处方预览发药	门诊药房管理系统	HIS	药房药库
基数药发药	门诊药房管理系统	HIS	药房药库
配药确认	门诊药房管理系统	HIS	药房药库
欠药管理	门诊药房管理系统	HIS	药房药库
门诊处方执行	门诊药房管理系统	HIS	药房药库
处方询价	门诊药房管理系统	HIS	药房药库
退药单查询	门诊药房管理系统	HIS	药房药库
退药汇总	门诊药房管理系统	HIS	药房药库
日消耗统计	门诊药房管理系统	HIS	药房药库
基数药补货单查询	门诊药房管理系统	HIS	药房药库
发药窗口日志	门诊药房管理系统	HIS	药房药库
处方状态查询	门诊药房管理系统	HIS	药房药库
门诊药房统计报表	门诊药房管理系统	HIS	药房药库
基数药维护	门诊药房管理系统	HIS	药房药库
拒绝退药原因维护	门诊药房管理系统	HIS	药房药库
打印标签维护维护	门诊药房管理系统	HIS	药房药库
处方类型维护	门诊药房管理系统	HIS	药房药库
门诊药房首页	门诊药房管理系统	HIS	药房药库
处方类统计报表（门诊药房）	门诊药房管理系统	HIS	药房药库
处方打印模版维护	门诊药房管理系统	HIS	药房药库
门诊发药	门诊药房管理系统	HIS	药房药库
输血科用血统计分析	输血科信息管理系统	CIS	检验
接收标本和备血申请单	输血科信息管理系统	CIS	检验
血袋管理	输血科信息管理系统	CIS	检验
配血管理	输血科信息管理系统	CIS	检验
发血管理	输血科信息管理系统	CIS	检验
库存管理（输血科）	输血科信息管理系统	CIS	检验
数据查询（输血科）	输血科信息管理系统	CIS	检验
费用管理（输血科）	输血科信息管理系统	CIS	检验
血站接口	输血科信息管理系统	CIS	检验
仪器接口	输血科信息管理系统	CIS	检验
权限管理(输血科)	输血科信息管理系统	CIS	检验
基础数据维护（输血科）	输血科信息管理系统	CIS	检验
临床备血申请2	输血科信息管理系统	CIS	检验
输血科系统仪器连接（上线合同内）	输血科信息管理系统	CIS	检验
库位管理	输血科信息管理系统	CIS	检验
血站接口（Webservice方式）	输血科信息管理系统	CIS	检验
输血系统与第三方HIS系统接口	输血科信息管理系统	CIS	检验
输血移动护理接口	输血科信息管理系统	CIS	检验
日常事物	输血科信息管理系统	CIS	检验
统计汇总（输血）	输血科信息管理系统	CIS	检验
排队叫号（叫号接口）	放射科信息系统	CIS	PACS
技师工作站	放射科信息系统	CIS	PACS
第三方影像云接口	放射科信息系统	CIS	PACS
放射科预约登记	放射科信息系统	CIS	PACS
放射科报告管理	放射科信息系统	CIS	PACS
科室统计分析系统	放射科信息系统	CIS	PACS
医保目录维护-职工	医保服务(城镇职工)	HIS	计费医保
医保诊断维护-职工	医保服务(城镇职工)	HIS	计费医保
门诊医保挂号-职工	医保服务(城镇职工)	HIS	计费医保
门诊医保收费-职工	医保服务(城镇职工)	HIS	计费医保
门诊费用明细上传-职工	医保服务(城镇职工)	HIS	计费医保
门诊医保-月报表-职工	医保服务(城镇职工)	HIS	计费医保
住院医保登记-职工	医保服务(城镇职工)	HIS	计费医保
住院医保结算-职工	医保服务(城镇职工)	HIS	计费医保
住院费用明细上传-职工	医保服务(城镇职工)	HIS	计费医保
住院医保-报表-职工	医保服务(城镇职工)	HIS	计费医保
医保字典维护	医保服务(城镇职工)	HIS	计费医保
医保服务(城镇职工)	医保服务(城镇职工)	HIS	计费医保
医保目录对照-职工	医保服务(城镇职工)	HIS	计费医保
门诊药品批次价收费	门诊收费系统	HIS	计费医保
门诊财务报表	门诊收费系统	HIS	计费医保
门诊集中打印发票	门诊收费系统	HIS	计费医保
门诊预交金充值	门诊收费系统	HIS	计费医保
门诊预交金退款	门诊收费系统	HIS	计费医保
门诊集中打印发票退费	门诊收费系统	HIS	计费医保
门诊语音报价	门诊收费系统	HIS	计费医保
门诊发票打印	门诊收费系统	HIS	计费医保
门诊收费	门诊收费系统	HIS	计费医保
门诊卡消费	门诊收费系统	HIS	计费医保
发票管理	门诊收费系统	HIS	计费医保
门诊退费	门诊收费系统	HIS	计费医保
门诊退费审核	门诊收费系统	HIS	计费医保
门诊收据查询	门诊收费系统	HIS	计费医保
门诊收费员未结算发票查询	门诊收费系统	HIS	计费医保
门诊收费员工作量统计	门诊收费系统	HIS	计费医保
门诊按发票号段查询费用	门诊收费系统	HIS	计费医保
门诊收费员未使用发票查询	门诊收费系统	HIS	计费医保
收费员日结账	门诊收费系统	HIS	计费医保
收费员日报汇总	门诊收费系统	HIS	计费医保
门诊收据证明打印	门诊收费系统	HIS	计费医保
优惠卡	门诊收费系统	HIS	计费医保
床位图	住院护士工作站	HIS	护理二部
需关注医嘱	住院护士工作站	HIS	护理二部
执行单打印	住院护士工作站	HIS	护理二部
瓶贴打印	住院护士工作站	HIS	护理二部
医嘱单打印	住院护士工作站	HIS	护理二部
标本交接管理	住院护士工作站	HIS	病理管理
住院医嘱执行	住院护士工作站	HIS	护理二部
分娩	住院护士工作站	HIS	护理二部
住院病人列表	住院医生工作站	HIS	医生站
住院诊断录入	住院医生工作站	HIS	医生站
住院医嘱录入	住院医生工作站	HIS	医生站
住院中草药录入	住院医生工作站	HIS	医生站
医嘱单	住院医生工作站	HIS	医生站
历次就诊查询	住院医生工作站	HIS	医生站
本次医嘱查询	住院医生工作站	HIS	医生站
过敏记录	住院医生工作站	HIS	医生站
停医嘱	住院医生工作站	HIS	医生站
检验检查结果列表	住院医生工作站	HIS	医生站
审核实习医嘱	住院医生工作站	HIS	医生站
轮转医生组分配	住院医生工作站	HIS	医生站
住院检查申请单	住院医生工作站	HIS	医生站
信息总览	住院医生工作站	HIS	医生站
住院病理申请单	住院医生工作站	HIS	医生站
住院医生站批次价处理	住院医生工作站	HIS	医生站
住院病案病案号分配和接口	住院医生工作站	HIS	电子病案管理
住院医生工作站	住院医生工作站	HIS	医生站
住院手术申请	住院医生工作站	HIS	临床
住院临床集成视图	住院医生工作站	HIS	基础平台
门急诊病人列表	门诊医生工作站	HIS	医生站
门急诊诊断录入	门诊医生工作站	HIS	医生站
门急诊医嘱录入	门诊医生工作站	HIS	医生站
门急诊中草药录入	门诊医生工作站	HIS	医生站
住院证	门诊医生工作站	HIS	医生站
历次就诊查询	门诊医生工作站	HIS	医生站
本次医嘱查询	门诊医生工作站	HIS	医生站
过敏记录	门诊医生工作站	HIS	医生站
停医嘱	门诊医生工作站	HIS	医生站
检查检验结果列表	门诊医生工作站	HIS	医生站
审核实习医嘱	门诊医生工作站	HIS	医生站
便民登记	门诊医生工作站	HIS	医生站
转诊	门诊医生工作站	HIS	医生站
门诊日志	门诊医生工作站	HIS	医生站
患者查询	门诊医生工作站	HIS	医生站
门诊医生站批次价处理	门诊医生工作站	HIS	医生站
门诊检查申请单	门诊医生工作站	HIS	医生站
门诊手术申请	门诊医生工作站	HIS	临床
门诊医生工作站	门诊医生工作站	HIS	医生站
门诊病理申请单	门诊医生工作站	HIS	医生站
门诊化疗计划	门诊医生工作站	HIS	医生站
门诊临床集成视图	门诊医生工作站	HIS	基础平台
绑定就诊卡	医院微信公众平台	互联网医院	互联网医院
挂号	医院微信公众平台	互联网医院	互联网医院
支付	医院微信公众平台	互联网医院	互联网医院
候诊	医院微信公众平台	互联网医院	互联网医院
导诊	医院微信公众平台	互联网医院	互联网医院
门诊报告信息查看	医院微信公众平台	互联网医院	互联网医院
就诊信息查看	医院微信公众平台	互联网医院	互联网医院
医院信息查看	医院微信公众平台	互联网医院	互联网医院
我的信息	医院微信公众平台	互联网医院	互联网医院
住院预缴金	医院微信公众平台	互联网医院	互联网医院
门诊满意度评价	医院微信公众平台	互联网医院	互联网医院
医院信息维护	医院微信公众平台	互联网医院	互联网医院
门诊预约	医院微信公众平台	互联网医院	互联网医院
门诊扫码报到	医院微信公众平台	互联网医院	互联网医院
诊断记录	医院微信公众平台	互联网医院	互联网医院
处方记录	医院微信公众平台	互联网医院	互联网医院
科室信息维护	医院微信公众平台	互联网医院	互联网医院
医生信息维护	医院微信公众平台	互联网医院	互联网医院
模板消息管理	医院微信公众平台	互联网医院	互联网医院
微信患者核酸便捷通道	医院微信公众平台	互联网医院	互联网医院
微信住院登记	医院微信公众平台	互联网医院	互联网医院
微信药品价格查询	医院微信公众平台	互联网医院	互联网医院
微信检查价格公示	医院微信公众平台	互联网医院	互联网医院
药品快递集成	医院微信公众平台	互联网医院	互联网医院
微信电子健康卡接入	医院微信公众平台	互联网医院	互联网医院
微信检验、检查自助开单	医院微信公众平台	互联网医院	互联网医院
微信院内导航集成	医院微信公众平台	互联网医院	互联网医院
微信用药指导集成	医院微信公众平台	互联网医院	互联网医院
微信电子住院证查询	医院微信公众平台	互联网医院	互联网医院
微信手术信息查询	医院微信公众平台	互联网医院	互联网医院
体检问卷调查	医院微信公众平台	互联网医院	互联网医院
体检报告查询	医院微信公众平台	互联网医院	互联网医院
体检满意度调查	医院微信公众平台	互联网医院	互联网医院
对接区域挂号平台	医院微信公众平台	互联网医院	互联网医院
地图导航接口	医院微信公众平台	互联网医院	互联网医院
服务器漏洞处理	医院微信公众平台	互联网医院	互联网医院
互联网医院监管平台对接	医院微信公众平台	互联网医院	互联网医院
患者基本信息线上修改	医院微信公众平台	互联网医院	互联网医院
取药状态查询	医院微信公众平台	互联网医院	互联网医院
定位报到	医院微信公众平台	互联网医院	互联网医院
电子陪护证后台	医院微信公众平台	互联网医院	数字媒体发布
第三方影像对接	医院微信公众平台	互联网医院	互联网医院
电子发票	医院微信公众平台	互联网医院	互联网医院
药房个人排队查看	医院微信公众平台	互联网医院	互联网医院
检查个人排队查看	医院微信公众平台	互联网医院	互联网医院
更换SSL证书	医院微信公众平台	互联网医院	互联网医院
线上取号	医院微信公众平台	互联网医院	互联网医院
