值域代码,值域名称,代码,名称,说明
GB/T 16835-1997,高等学校本科、专科专业名称代码,1006,法医学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,1007,护理学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,1008,药学类,
GB/T 16835-1997,高等学校本科、专科专业名称代码,100801,药学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,100802,中药学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,100899,其他药学专业,
GB/T 16835-1997,高等学校本科、专科专业名称代码,11,管理类,
GB/T 2261.1-2003,性别代码,0,未知的性别,
GB/T 2261.1-2003,性别代码,1,男性,
GB/T 2261.1-2003,性别代码,2,女性,
GB/T 2261.1-2003,性别代码,9,未说明的性别,
GB/T 2261.2-2003,婚姻状况类别代码,10,未婚,
GB/T 2261.2-2003,婚姻状况类别代码,20,已婚,
GB/T 2261.2-2003,婚姻状况类别代码,21,初婚,
GB/T 2261.2-2003,婚姻状况类别代码,22,再婚,
GB/T 2261.2-2003,婚姻状况类别代码,23,复婚,
GB/T 2261.2-2003,婚姻状况类别代码,30,丧偶,
GB/T 2261.2-2003,婚姻状况类别代码,40,离婚,
GB/T 2261.2-2003,婚姻状况类别代码,90,未说明的婚姻状况,
GB/T 2659-2000,国籍代码,01,阿富汗,
GB/T 2659-2000,国籍代码,02,阿尔巴尼亚,
GB/T 2659-2000,国籍代码,03,阿尔及利亚,
GB/T 2659-2000,国籍代码,04,美属萨摩亚,
GB/T 2659-2000,国籍代码,05,安道尔,
GB/T 2659-2000,国籍代码,06,安哥拉,
GB/T 2659-2000,国籍代码,07,安圭拉,
GB/T 2659-2000,国籍代码,08,南极洲,
GB/T 2659-2000,国籍代码,09,安提瓜和巴布达,
GB/T 2659-2000,国籍代码,10,阿根廷,
GB/T 2659-2000,国籍代码,11,亚美尼亚,
GB/T 2659-2000,国籍代码,12,阿鲁巴,
GB/T 2659-2000,国籍代码,13,澳大利亚,
GB/T 2659-2000,国籍代码,14,奥地利,
GB/T 2659-2000,国籍代码,15,阿塞拜疆,
GB/T 2659-2000,国籍代码,16,巴哈马,
GB/T 2659-2000,国籍代码,17,巴林,
GB/T 2659-2000,国籍代码,18,孟加拉国,
GB/T 2659-2000,国籍代码,19,巴巴多斯,
GB/T 2659-2000,国籍代码,20,白俄罗斯,
GB/T 2659-2000,国籍代码,21,比利时,
GB/T 2659-2000,国籍代码,22,伯利兹,
GB/T 2659-2000,国籍代码,23,贝宁,
GB/T 2659-2000,国籍代码,24,百慕大,
GB/T 2659-2000,国籍代码,25,不丹,
GB/T 2659-2000,国籍代码,26,玻利维亚,
GB/T 2659-2000,国籍代码,27,波黑,
GB/T 2659-2000,国籍代码,28,博茨瓦纳,
GB/T 2659-2000,国籍代码,29,布维岛,
GB/T 2659-2000,国籍代码,30,巴西,
GB/T 2659-2000,国籍代码,31,英属印度洋领土,
GB/T 2659-2000,国籍代码,32,文莱,
GB/T 2659-2000,国籍代码,33,保加利亚,
GB/T 2659-2000,国籍代码,34,布基纳法索,
GB/T 2659-2000,国籍代码,35,布隆迪,
GB/T 2659-2000,国籍代码,36,柬埔寨,
GB/T 2659-2000,国籍代码,37,喀麦隆,
GB/T 2659-2000,国籍代码,38,加拿大,
GB/T 2659-2000,国籍代码,39,佛得角,
GB/T 2659-2000,国籍代码,40,开曼群岛,
